Event,Img_Name,Done_Time,Queue,Cumuli,CC_Cat_Bool,CC_Time,CR_Class,CR_Val,CR_Time,BBS_Time,HAAR_Time,FF_BBS_Bool,FF_BBS_Val,FF_BBS_Time,Face_Bool,PC_Class,PC_Val,PC_Time,Total_Time
75,2020_05_31_23-34-44.536869,2020_05_31_23-34-48.031007,2,0,True,0.562258243560791,,,,0.401181697845459,0.23229479789733887,False,0.8326617,0.3983156681060791,False,,,,1.594050407409668
75,2020_05_31_23-34-45.037510,2020_05_31_23-34-53.906939,9,9,True,0.5425870418548584,,,,,0.28016138076782227,,,,True,False,0.41123796,4.375464916229248,5.198213338851929
75,2020_05_31_23-34-46.169517,2020_05_31_23-35-01.203887,17,14,True,0.8029510974884033,,,,0.597665548324585,0.33217692375183105,True,0.0047734687,0.6452455520629883,True,False,0.4470988,4.515111684799194,6.893150806427002
78,2020_05_31_23-35-03.355184,2020_05_31_23-35-06.452130,4,0,True,0.7254889011383057,,,,0.5349457263946533,1.137880802154541,False,0.9500083,0.5203711986541748,False,,,,2.918686628341675
78,2020_05_31_23-35-07.587898,2020_05_31_23-35-12.953878,6,0,True,0.7672154903411865,,,,0.5465590953826904,0.7572135925292969,False,0.94629425,0.5008034706115723,False,,,,2.571791648864746
78,2020_05_31_23-35-09.842991,2020_05_31_23-35-21.135729,13,-10000000,True,0.7717089653015137,,,,,0.6556031703948975,,,,True,True,0.6304021,4.573253393173218,6.000565528869629
79,2020_06_01_00-19-57.929727,2020_06_01_00-19-59.766537,2,0,True,0.47725558280944824,,,,0.4810333251953125,0.2536003589630127,False,0.56748134,0.3527791500091553,False,,,,1.5646684169769287
80,2020_06_01_04-07-35.041550,2020_06_01_04-07-40.225651,6,13,True,0.47455668449401855,,,,0.4047062397003174,0.10491466522216797,True,0.02056958,0.45357251167297363,True,False,0.3680663,3.6470894813537598,5.084839582443237
81,2020_06_01_04-08-01.204933,2020_06_01_04-08-07.172781,6,-2,True,0.580308198928833,,,,0.433605432510376,0.3621058464050293,True,0.15279536,0.4199235439300537,True,True,0.52269614,3.9013686180114746,5.697311639785767
86,2020_06_01_05-38-46.219665,2020_06_01_05-38-48.279258,3,0,True,0.5653862953186035,,,,0.46624302864074707,0.21216630935668945,False,0.9620471,0.4708261489868164,False,,,,1.7146217823028564
86,2020_06_01_05-38-46.684588,2020_06_01_05-38-50.413195,4,0,True,0.6299867630004883,,,,0.49725842475891113,0.20633912086486816,False,0.949339,0.41622042655944824,False,,,,1.7498047351837158
86,2020_06_01_05-38-47.653696,2020_06_01_05-38-52.708493,7,0,True,0.6697866916656494,,,,0.5250077247619629,0.2028183937072754,False,0.8643409,0.44565367698669434,False,,,,1.843266487121582
86,2020_06_01_05-38-48.191719,2020_06_01_05-38-55.030442,9,0,True,0.7338945865631104,,,,0.4920382499694824,0.15259456634521484,False,0.6595812,0.5063021183013916,False,,,,1.8848295211791992
86,2020_06_01_05-38-49.254975,2020_06_01_05-38-57.170766,10,0,True,0.6936817169189453,,,,0.41268301010131836,0.0781707763671875,False,0.95855683,0.5138916969299316,False,,,,1.6984272003173828
91,2020_06_01_05-59-27.987493,2020_06_01_05-59-29.957960,3,0,True,0.6063361167907715,,,,0.43953657150268555,0.2592334747314453,False,0.9495495,0.4606170654296875,False,,,,1.7657232284545898
91,2020_06_01_05-59-28.515782,2020_06_01_05-59-32.157749,4,0,True,0.6724796295166016,,,,0.4800300598144531,0.23557519912719727,False,0.9880895,0.4142642021179199,False,,,,1.8023490905761719
91,2020_06_01_05-59-29.650015,2020_06_01_05-59-39.034518,12,-1,True,0.7124073505401611,,,,0.4857628345489502,0.36446094512939453,True,0.3022562,0.574770450592041,True,True,0.5120144,4.337066888809204,6.474468469619751
91,2020_06_01_05-59-31.524348,2020_06_01_05-59-43.547720,14,-1,True,0.6929383277893066,,,,0.5114634037017822,0.5132412910461426,False,0.98710674,0.5598330497741699,False,,,,2.2774760723114014
91,2020_06_01_05-59-35.497179,2020_06_01_05-59-50.333788,19,-1,True,0.6704246997833252,,,,0.5458645820617676,0.8708105087280273,False,0.9625463,0.6128525733947754,False,,,,2.6999523639678955
94,2020_06_01_06-20-51.524930,2020_06_01_06-20-53.482339,2,0,True,0.5648238658905029,,,,0.48902463912963867,0.2657327651977539,False,0.8916408,0.35375165939331055,False,,,,1.673332929611206
94,2020_06_01_06-20-52.595260,2020_06_01_06-20-59.256137,9,-1,True,0.6616823673248291,,,,,0.38559794425964355,,,,True,True,0.50903386,3.8539671897888184,4.901247501373291
94,2020_06_01_06-20-53.086474,2020_06_01_06-21-02.142304,13,-1,True,0.8107390403747559,,,,0.49052882194519043,0.5840184688568115,False,0.6295949,0.5328607559204102,False,,,,2.418147087097168
95,2020_06_01_08-52-27.651741,2020_06_01_08-52-29.656714,3,0,True,0.590130090713501,,,,0.5302646160125732,0.11274933815002441,False,0.8690939,0.5177714824676514,False,,,,1.75091552734375
99,2020_06_01_09-00-45.800502,2020_06_01_09-00-48.210247,4,0,True,0.6661911010742188,,,,0.5036056041717529,0.44243645668029785,False,0.8920551,0.49319934844970703,False,,,,2.1054325103759766
99,2020_06_01_09-00-46.774243,2020_06_01_09-00-51.145118,5,0,True,0.64272141456604,,,,0.4661579132080078,0.3586001396179199,False,0.9515821,0.38020849227905273,False,,,,1.8476879596710205
99,2020_06_01_09-00-47.710036,2020_06_01_09-00-53.557001,8,0,True,0.7162213325500488,,,,0.5411863327026367,0.20189905166625977,False,0.85786927,0.49860382080078125,False,,,,1.9579105377197266
99,2020_06_01_09-00-48.276644,2020_06_01_09-00-55.881101,10,0,True,0.6700625419616699,,,,0.5285153388977051,0.12007808685302734,False,0.84856653,0.5878355503082275,False,,,,1.9064915180206299
113,2020_06_01_11-23-41.396774,2020_06_01_11-23-43.478325,2,0,True,0.53086256980896,,,,0.5062105655670166,0.4630558490753174,False,0.9079073,0.408048152923584,False,,,,1.908177137374878
113,2020_06_01_11-23-42.462616,2020_06_01_11-23-46.278674,6,0,True,0.6091980934143066,,,,0.5100057125091553,0.46895909309387207,False,0.9990219,0.5527858734130859,False,,,,2.14094877243042
113,2020_06_01_11-23-42.964254,2020_06_01_11-23-48.579737,8,0,True,0.4818081855773926,,,,0.43495631217956543,0.5103137493133545,False,0.998009,0.4787483215332031,False,,,,1.9058265686035156
113,2020_06_01_11-23-43.805860,2020_06_01_11-23-51.245933,10,0,True,0.6247007846832275,,,,0.558049201965332,0.599536657333374,False,0.99957246,0.4520120620727539,False,,,,2.2342987060546875
113,2020_06_01_11-23-44.305092,2020_06_01_11-23-53.946823,12,0,True,0.5871767997741699,,,,0.5320794582366943,0.6692512035369873,False,0.99968445,0.41078758239746094,False,,,,2.1992950439453125
113,2020_06_01_11-23-45.579097,2020_06_01_11-23-56.619114,15,0,True,0.7215039730072021,,,,0.5354607105255127,0.4657256603240967,False,0.6497768,0.49517011642456055,False,,,,2.217860460281372
113,2020_06_01_11-23-46.127301,2020_06_01_11-23-59.072831,17,0,True,0.5834000110626221,,,,0.5386538505554199,0.4539048671722412,False,0.88924396,0.48504137992858887,False,,,,2.061000108718872
113,2020_06_01_11-23-46.563688,2020_06_01_11-24-01.953251,20,0,True,0.6642451286315918,,,,0.5256369113922119,0.7226371765136719,False,0.8273506,0.5495433807373047,False,,,,2.4620625972747803
113,2020_06_01_11-23-47.386132,2020_06_01_11-24-04.640294,22,0,True,0.6320269107818604,,,,0.5126552581787109,0.5752553939819336,False,0.9756733,0.5712239742279053,False,,,,2.29116153717041
113,2020_06_01_11-23-47.914907,2020_06_01_11-24-07.187402,24,0,True,0.4863576889038086,,,,0.49292707443237305,0.5550155639648438,False,0.95686483,0.5644989013671875,False,,,,2.098799228668213
113,2020_06_01_11-23-50.440485,2020_06_01_11-24-11.322872,26,0,True,0.7991783618927002,,,,0.54541015625,0.3227207660675049,False,0.9600296,0.5134425163269043,False,,,,2.1807518005371094
113,2020_06_01_11-23-52.232286,2020_06_01_11-24-14.618505,28,0,True,0.5546152591705322,,,,0.5490901470184326,0.5307977199554443,False,0.9072942,0.539318323135376,False,,,,2.173821449279785
113,2020_06_01_11-23-52.799750,2020_06_01_11-24-17.066328,30,0,True,0.5407631397247314,,,,0.5417211055755615,0.3874971866607666,False,0.9879654,0.541348934173584,False,,,,2.0113303661346436
113,2020_06_01_11-23-55.058543,2020_06_01_11-24-21.715213,34,0,True,0.6074163913726807,,,,0.5837788581848145,0.8402895927429199,False,0.7637043,0.5831003189086914,False,,,,2.6145851612091064
115,2020_06_01_11-43-04.510862,2020_06_01_11-43-06.471507,1,0,True,0.41750454902648926,,,,0.4138457775115967,0.6735458374023438,False,0.9950701,0.36734795570373535,False,,,,1.872244119644165
115,2020_06_01_11-43-05.585655,2020_06_01_11-43-10.481642,4,0,True,0.5746383666992188,,,,0.49350810050964355,0.40456676483154297,False,0.9478095,0.38088107109069824,False,,,,1.8535943031311035
119,2020_06_01_11-43-33.901003,2020_06_01_11-43-35.747946,3,0,True,0.490739107131958,,,,0.4719550609588623,0.1996011734008789,False,0.70978945,0.4441087245941162,False,,,,1.6064040660858154
119,2020_06_01_11-43-34.412614,2020_06_01_11-43-38.106716,5,0,True,0.5774168968200684,,,,0.5635008811950684,0.3215346336364746,False,0.6273146,0.4524190425872803,False,,,,1.9148714542388916
119,2020_06_01_11-43-35.358112,2020_06_01_11-43-40.604352,7,0,True,0.5454390048980713,,,,0.48200154304504395,0.4767136573791504,False,0.9870084,0.559211015701294,False,,,,2.0633652210235596
119,2020_06_01_11-43-35.897319,2020_06_01_11-43-43.168027,9,0,True,0.69189453125,,,,0.5878326892852783,0.321368932723999,False,0.9297652,0.5147020816802979,False,,,,2.115798234939575
123,2020_06_01_12-39-32.012864,2020_06_01_12-39-36.767533,5,-1,True,0.5784969329833984,,,,,0.22162961959838867,,,,True,True,0.5136753,3.793830394744873,4.59395694732666
123,2020_06_01_12-39-32.499353,2020_06_01_12-39-42.622051,11,-8,True,0.7983250617980957,,,,,0.290285587310791,,,,True,True,0.5734142,4.25092625617981,5.339536905288696
123,2020_06_01_12-39-33.743199,2020_06_01_12-39-48.582767,15,-10,True,0.789208173751831,,,,,0.5999963283538818,,,,True,True,0.5226497,4.09191370010376,5.481118202209473
123,2020_06_01_12-39-34.477946,2020_06_01_12-39-51.383198,17,-10,True,0.6754748821258545,,,,0.5081226825714111,0.5011539459228516,False,0.7930861,0.5656778812408447,False,,,,2.250429391860962
125,2020_06_01_21-32-54.324130,2020_06_01_21-32-56.167394,3,0,True,0.5802130699157715,,,,0.48341989517211914,0.17872071266174316,False,0.83123636,0.45769691467285156,False,,,,1.7000505924224854
125,2020_06_01_21-32-54.808430,2020_06_01_21-32-58.200759,4,0,True,0.4563710689544678,,,,0.5214242935180664,0.14811277389526367,False,0.78451854,0.50441575050354,False,,,,1.630323886871338
127,2020_06_01_22-47-15.959168,2020_06_01_22-47-17.927004,3,0,True,0.4666557312011719,,,,0.43890833854675293,0.24775338172912598,False,0.82608294,0.47284626960754395,False,,,,1.6261637210845947
127,2020_06_01_22-47-16.483418,2020_06_01_22-47-20.219121,5,0,True,0.5779294967651367,,,,0.4862518310546875,0.26592445373535156,False,0.7965641,0.5235922336578369,False,,,,1.8536980152130127
129,2020_06_02_00-14-52.211217,2020_06_02_00-14-54.339880,3,0,True,0.6208865642547607,,,,0.4188673496246338,0.3784627914428711,False,0.9550735,0.5319490432739258,False,,,,1.9501657485961914
129,2020_06_02_00-14-52.777261,2020_06_02_00-14-56.401178,4,0,True,0.5063080787658691,,,,0.3791770935058594,0.16881370544433594,False,0.5354797,0.5550973415374756,False,,,,1.60939621925354
